frame,decode_ms,render_ms,total_ms
787,0.328437,3.16917,3.4976
788,0.855885,5.45938,6.31526
789,0.420833,5.66281,6.08365
790,0.306407,5.64495,5.95136
791,0.54776,6.62568,7.17344
792,0.484219,5.73057,6.21479
793,0.379323,5.67943,6.05875
794,0.299375,3.11219,3.41156
795,0.397292,5.91859,6.31588
796,0.408698,5.74604,6.15474
797,0.31125,5.83906,6.15031
798,0.468802,5.90026,6.36906
799,0.313698,3.40297,3.71667
800,0.277239,5.13438,5.41161
801,0.378542,5.72453,6.10307
802,0.5025,5.59839,6.10089
803,0.399114,5.93104,6.33016
804,0.306197,3.47656,3.78276
805,0.476198,5.44943,5.92563
806,0.494583,5.53703,6.03162
807,0.303802,5.61354,5.91734
808,0.383906,5.72729,6.1112
809,0.433333,3.13797,3.5713
810,0.330364,5.23,5.56036
811,0.405885,5.80261,6.20849
812,0.431407,5.75568,6.18708
813,0.528697,5.62448,6.15318
814,0.306459,3.32568,3.63214
815,0.256354,5.25214,5.50849
816,0.423021,5.73333,6.15635
817,0.355521,5.66802,6.02354
