frame,render_index,decode_ms,render_ms,total_ms
160,0,0.506979,3.52854,4.03552
160,1,0,2.59568,2.59568
160,2,0,3.91969,3.91969
160,3,0,1.7925,1.7925
161,0,0.49125,4.36594,4.85719
161,1,0,2.72078,2.72078
161,2,0,3.885,3.885
161,3,0,1.80688,1.80688
162,0,0.457083,3.97281,4.4299
162,1,0,1.84474,1.84474
162,2,0,2.88505,2.88505
162,3,0,4.00875,4.00875
163,0,0.549531,3.82016,4.36969
163,1,0,1.82391,1.82391
163,2,0,2.5912,2.5912
163,3,0,3.9113,3.9113
164,0,0.523854,3.21203,3.73589
164,1,0,2.65318,2.65318
164,2,0,1.86214,1.86214
164,3,0,2.59667,2.59667
165,0,0.532761,4.86531,5.39807
165,1,0,1.87943,1.87943
165,2,0,2.66912,2.66912
165,3,0,2.93938,2.93938
166,0,0.575052,5.18161,5.75667
166,1,0,1.80583,1.80583
166,2,0,2.55833,2.55833
166,3,0,1.78656,1.78656
167,0,0.47,4.13307,4.60307
167,1,0,3.9062,3.9062
167,2,0,2.93469,2.93469
167,3,0,1.84172,1.84172
168,0,0.504375,4.06104,4.56542
168,1,0,3.85771,3.85771
168,2,0,1.83615,1.83615
168,3,0,2.93427,2.93427
169,0,0.461666,3.98661,4.44828
169,1,0,3.96547,3.96547
169,2,0,1.78172,1.78172
169,3,0,2.67073,2.67073
170,0,0.380416,4.28687,4.66729
170,1,0,3.94016,3.94016
170,2,0,1.89344,1.89344
170,3,0,1.85839,1.85839
171,0,0.646979,3.59266,4.23964
171,1,0,4.76703,4.76703
171,2,0,2.06255,2.06255
171,3,0,1.94531,1.94531
172,0,0.677083,4.23557,4.91266
172,1,0,2.67667,2.67667
172,2,0,3.92234,3.92234
172,3,0,1.79182,1.79182
173,0,0.35526,3.99214,4.3474
173,1,0,2.65813,2.65813
173,2,0,3.95995,3.95995
173,3,0,1.87906,1.87906
174,0,0.502031,4.20521,4.70724
174,1,0,1.82422,1.82422
174,2,0,4.87135,4.87135
174,3,0,2.28037,2.28037
175,0,0.457032,5.13891,5.59594
175,1,0,2.67141,2.67141
175,2,0,3.895,3.895
175,3,0,1.78073,1.78073
176,0,0.35349,4.06125,4.41474
176,1,0,1.80526,1.80526
176,2,0,2.59797,2.59797
176,3,0,3.98729,3.98729
177,0,1.26208,3.87281,5.1349
177,1,0,1.90677,1.90677
177,2,0,2.57068,2.57068
177,3,0,3.98599,3.98599
178,0,0.614844,3.31297,3.92781
178,1,0,2.73083,2.73083
178,2,0,1.89995,1.89995
178,3,0,2.35088,2.35088
179,0,0.468229,4.86339,5.33161
179,1,0,1.76599,1.76599
179,2,0,2.57604,2.57604
179,3,0,1.84885,1.84885
180,0,0.596511,5.5763,6.17281
180,1,0,1.82,1.82
180,2,0,2.55479,2.55479
180,3,0,1.79604,1.79604
181,0,0.589375,4.49115,5.08052
181,1,0,4.10031,4.10031
181,2,0,1.84104,1.84104
181,3,0,2.59771,2.59771
182,0,0.488542,3.97016,4.4587
182,1,0,3.93745,3.93745
182,2,0,1.79948,1.79948
182,3,0,2.59323,2.59323
183,0,0.642864,4.02187,4.66474
183,1,0,3.90781,3.90781
183,2,0,1.8025,1.8025
183,3,0,1.7737,1.7737
184,0,0.464948,3.84229,4.30724
184,1,0,5.34573,5.34573
184,2,0,1.82281,1.82281
184,3,0,1.78031,1.78031
