scene,q,tx,ty,mean_z,disp_seed,disp_est,disocc,edge,activity,bits_intra,bits_stereo,bits_stereo_mv,bits_stereo_est,bits_stereo_rec_mv,bits_warp,bits_warp_mv,sad_intra,sad_stereo_mv,sad_warp_mv,mvx_q2,mvy_q2
far,8,5,0,1.157,25.99,26,0.0000,0.0000,7.54,4314.6,2766.0,2766.0,2766.0,2821.8,3954.4,2640.9,183377,5984,5723,0,0
far,8,6,0,1.159,25.96,26,0.0000,0.0000,6.00,3553.7,2130.6,1092.6,1092.6,1212.5,3328.5,1816.6,155380,2014,3438,-4,0
far,8,7,0,1.160,25.92,26,0.0000,0.0000,8.49,4178.3,2692.6,2692.6,2692.6,2737.9,4303.3,2769.3,207672,10434,6676,0,0
far,8,8,0,1.162,25.89,26,0.0000,0.0000,8.60,4421.3,3323.7,3323.7,3323.7,3421.8,4726.6,2919.5,179679,9773,7702,0,0
far,8,9,0,1.164,25.85,26,0.0000,0.0000,9.03,5044.5,3731.6,3917.2,3917.2,3936.1,4974.8,3252.9,182210,10100,13686,1,0
far,8,10,0,1.165,25.81,26,0.0000,0.0000,6.40,3546.5,2613.0,2333.4,2333.4,2132.6,3246.7,2094.0,87766,3250,4762,-4,0
far,8,11,0,1.167,25.78,26,0.0000,0.0000,4.16,2980.7,2063.6,1796.8,1796.8,1837.0,2905.6,2519.0,87577,5291,23347,5,-5
far,8,12,0,1.168,25.74,26,0.0000,0.0000,5.99,4450.0,3250.2,3335.0,3335.0,3178.4,4203.3,3111.1,157478,8253,39133,4,-5
far,8,13,0,1.170,25.71,26,0.0000,0.0000,7.23,5424.2,3968.2,4141.7,4141.7,3771.6,5176.7,3626.2,154080,9855,60083,4,-5
far,8,14,0,1.172,25.67,24,0.0000,0.0000,6.19,4342.2,2529.0,2619.1,2624.0,2580.8,3815.6,2577.0,154768,6044,70970,-2,1
far,8,15,0,1.173,25.64,26,0.0000,0.4001,6.34,3940.2,3450.2,3184.0,3204.7,3298.1,3323.2,3325.9,154576,40512,112502,-13,17
far,8,0,1,1.322,22.77,22,0.0000,0.0000,11.89,6400.3,4189.6,4445.5,4445.5,4493.6,6613.1,3601.0,215313,7948,6802,1,0
far,8,1,1,1.324,22.73,22,0.0000,0.0000,10.93,5379.9,3874.0,4047.2,4047.2,4108.4,5921.8,3012.3,216544,8846,6069,1,0
far,8,2,1,1.326,22.69,24,0.0000,0.0000,10.38,6058.4,4023.0,4217.6,4217.6,4336.7,5633.0,3122.8,217401,8683,5120,1,0
far,8,3,1,1.328,22.66,22,0.0000,0.0000,9.19,5254.7,3496.2,3651.7,3651.7,3725.6,5105.7,2730.2,207971,9046,5012,1,0
far,8,4,1,1.330,22.62,22,0.0000,0.0000,8.43,4567.6,2681.2,2170.7,2217.6,2351.3,4479.2,2366.7,176591,8522,4032,-1,0
far,8,5,1,1.332,22.59,22,0.0000,0.0000,7.68,4388.9,2663.1,2484.6,2344.6,2527.4,4470.4,2396.8,168269,6083,4466,-1,0
far,8,6,1,1.335,22.55,22,0.0000,0.0000,9.16,4623.6,3300.3,3289.6,3435.0,3370.3,5088.4,2713.1,195963,10694,5381,-1,0
far,8,7,1,1.337,22.52,22,0.0000,0.0000,8.58,4043.6,2520.7,2431.5,2745.5,2455.4,3949.0,2547.4,203980,11733,5735,-1,0
far,8,8,1,1.339,22.48,22,0.0000,0.0000,8.81,4338.8,3141.1,3007.9,3032.7,3362.5,4430.7,2791.0,178806,10615,5892,1,0
far,8,9,1,1.341,22.44,22,0.0000,0.0000,9.16,4958.6,3741.7,3912.4,4016.6,3956.4,5177.6,2689.5,156939,10685,5335,-1,0
far,8,10,1,1.343,22.41,22,0.0000,0.0000,9.33,5285.8,3886.7,3974.6,4027.1,4057.9,5678.5,2745.4,146734,10923,5313,-1,0
far,8,11,1,1.345,22.37,22,0.0000,0.0000,10.31,5785.8,4151.5,4350.4,4350.4,4249.1,5963.1,3208.4,160055,10486,5913,0,0
far,8,12,1,1.347,22.34,22,0.0000,0.0000,10.01,5832.1,4137.9,4418.5,4418.5,4486.6,6062.4,3194.0,190203,7411,5101,-1,0
far,8,13,1,1.350,22.30,22,0.0000,0.0000,10.57,6124.2,4553.5,4775.5,4775.5,4793.8,7033.8,3603.2,211407,8946,5755,-1,0
far,8,14,1,1.352,22.27,22,0.0000,0.0000,11.27,5940.2,4733.2,4912.5,4912.5,4929.9,6466.3,3990.7,221588,9675,7493,-1,0
far,8,15,1,1.354,22.23,24,0.0000,0.3477,11.99,6488.2,5480.1,5179.9,5031.2,5272.8,7255.5,7063.3,227756,41748,340494,1,0
far,8,0,2,1.556,19.36,20,0.0000,0.0000,13.14,6885.2,4746.0,5120.0,5120.0,4860.4,7059.9,3690.2,225124,10444,6802,0,0
far,8,1,2,1.559,19.32,18,0.0000,0.0000,12.91,6412.3,4643.0,4854.7,4854.7,4977.1,6650.2,3368.0,229682,10931,6195,-1,0
