arm,run,scenario,phase,id,detail_mode,bytes,wire_bytes,encode_ms,raw_fnv
regional_fallback,1,opposing_no_ack,measured,113,independent,105691,108366,6.69269,5310cff95a1ba6b0
regional_fallback,1,opposing_no_ack,measured,114,independent,105299,107974,6.52838,b0f74ef7eaa496e3
regional_fallback,1,opposing_no_ack,measured,115,independent,105178,107853,6.32016,7edb23c91470d08d
regional_fallback,1,opposing_no_ack,measured,116,independent,103836,106511,6.21773,f434cf8f782297eb
regional_fallback,1,opposing_no_ack,measured,117,independent,106302,108977,6.44146,ee71fb6411e8bcba
regional_fallback,1,opposing_no_ack,measured,118,independent,106906,109581,6.67084,1b566ab8e9a740ef
regional_fallback,1,opposing_no_ack,measured,119,independent,106966,109641,6.24918,b1a6f8333481ad4a
regional_fallback,1,opposing_no_ack,measured,120,independent,107509,110184,6.37502,9e4fb7c218b22221
regional_fallback,1,opposing_no_ack,measured,121,independent,107707,110382,6.27853,e262794690d637f7
regional_fallback,1,opposing_no_ack,measured,122,independent,107785,110460,6.75186,44899969c1ba8c85
regional_fallback,1,opposing_no_ack,measured,123,independent,107929,110604,6.79984,9a63ad4415d75d91
regional_fallback,1,opposing_no_ack,measured,124,independent,107450,110125,6.63435,331e6f37fd61a64e
regional_fallback,1,opposing_no_ack,measured,125,independent,107890,110565,6.28834,0b7257ed2bf0a600
regional_fallback,1,opposing_no_ack,measured,126,independent,107981,110656,6.33089,8d3c248a31384b0b
regional_fallback,1,opposing_no_ack,measured,127,independent,108314,110989,6.43504,e1237500ecff0a97
regional_fallback,1,opposing_no_ack,measured,128,independent,108037,110712,6.62816,6f8bf78fa41def42
regional_fallback,1,opposing_no_ack,measured,129,independent,108125,110800,6.54066,4c97bb1969c64238
regional_fallback,2,opposing_source_motion,measured,106,regional-v2,88641,91316,9.02994,ff395193d88bc8c9
regional_fallback,2,opposing_source_motion,measured,107,regional-v2,88648,91323,8.88172,4f52882856be3545
regional_fallback,2,opposing_source_motion,measured,108,global-v1,88163,90838,8.59589,8309a486743f0a90
regional_fallback,2,opposing_source_motion,measured,109,regional-v2,89215,91890,8.81809,149c45cd25e7b10a
regional_fallback,2,opposing_source_motion,measured,110,regional-v2,95451,98126,9.52369,16e1934bca8f3cb8
regional_fallback,2,opposing_source_motion,measured,111,regional-v2,91779,94454,8.77195,66b84d6b8554f57e
