09-07 18:16:49.868 17110 25869 I WiVRn   : [2026-09-07 18:16:49.868] [WiVRn] [info] render: defoveate 1088x1088 per eye x2 = 2.37 Mpx/frame at scale 0.50 atlas-mode 0; 77 re-presented from the cache (reduce_gpu_load on)
09-07 18:16:50.469 17110 26060 I WiVRn   : [2026-09-07 18:16:50.469] [WiVRn] [info] nxwarp[0] net: 100 frames closed in 2.0 s, 0 with a hole, 0 out-of-order datagrams, 0 frames completed late, 0 queued for the worker, 549 decoded so far, 996 stragglers dropped; last hole 0/0 chunks, first missing -1, short false, chunk 1166 B
09-07 18:16:50.469 17110 26060 I WiVRn   : [2026-09-07 18:16:50.469] [WiVRn] [info] nxwarp[0] net: 0.033 ms per datagram over 4462 datagrams (73.50 ms of every second)
09-07 18:16:50.469 17110 26060 I WiVRn   : [2026-09-07 18:16:50.469] [WiVRn] [info] nxwarp[0] sel: stride 1, arrival 17.2 ms, dropped-late 106, withheld 10, decoded 549
09-07 18:16:50.469 17110 26060 I WiVRn   : [2026-09-07 18:16:50.469] [WiVRn] [info] nxwarp[0] rx: 23091 datagrams, placed 379746 (+57800), late 547 (+0), stale_frame 0, bad_range 0, bad_dir 0, bad_caps 0, bad_ver 0, auth_fail 0, replay 0, frozen 0, dup 0
09-07 18:16:51.394 17110 26063 I WiVRn   : [2026-09-07 18:16:51.394] [WiVRn] [info] nxwarp[0]: 96 frames in 2.0 s: 37488 B/frame, wait-prev 0.0 ms, wall 15.6 ms, nxvc passA 3.9 passB 10.2 gpu 14.1 ms; holes 0, refused 0
09-07 18:16:51.394 17110 26063 I WiVRn   : [2026-09-07 18:16:51.394] [WiVRn] [info] nxwarp[0] gpu duty 673 ms/s (67% of one GPU) for decode alone; the display pass is extra
09-07 18:16:51.394 17110 26063 I WiVRn   : [2026-09-07 18:16:51.394] [WiVRn] [info] nxwarp[0] passB 10.2 ms = warp 0.0 + skip 0.0 + coded 0.0 + dir 0.0 + other 10.2; tiles skip 0 / coded 578 / dir 0 (eye pass 0)
09-07 18:16:51.394 17110 26063 I WiVRn   : [2026-09-07 18:16:51.394] [WiVRn] [info] nxwarp[0]: 106 frames dropped late (queue kept to 1)
09-07 18:16:51.394 17110 26063 I WiVRn   : [2026-09-07 18:16:51.394] [WiVRn] [info] nxwarp[0] stage: gap 5.4 | wait-prev 0.0 | submit 0.2 (qlock 0.0 + codec 0.2) | get_free 0.0 | fence-pre 0.0 | record 0.1 | qsubmit 0.0 | fence-post 15.2 | publish 0.0 ms; withheld 0, stride 1, arrival 22.0 ms
09-07 18:16:51.394 17110 26063 I WiVRn   : [2026-09-07 18:16:51.394] [WiVRn] [info] nxwarp[0] reassembly (network thread): 0.03 ms/frame over 96 frames, buffer 37 kB held for 37 kB of unit (1.0x)
09-07 18:16:51.394 17110 26063 I WiVRn   : [2026-09-07 18:16:51.394] [WiVRn] [info] nxwarp[0] fence-post 15.3 ms = nxvc gpu 14.1 + copy gpu 0.60 + queue 0.5 (over 96 frames with timestamps)
09-07 18:16:51.875 17110 25869 I WiVRn   : [2026-09-07 18:16:51.875] [WiVRn] [info] render: defoveate 1088x1088 per eye x2 = 2.37 Mpx/frame at scale 0.50 atlas-mode 0; 79 re-presented from the cache (reduce_gpu_load on)
